original_title,overview,genre names,keywords
the tigger movie,happens pooh piglet eeyore roo rabbit owl busy preparing suitable winter home eeyore undone tiggers exuberant bouncing rabbit suggest tigger outside tiggers bounce notion tigger ridiculous hes onliest,animation family,owl donkey tiger piglet bear rabbit woman director
orphan,married couple rocky past adopt 9year esther fill void created recentlystillborn baby esther,horror thriller mystery,nun deafmute orphan girl troubled marriage aftercreditsstinger duringcreditsstinger
max,dog helped soldiers afghanistan returns adopted handlers family suffering traumatic experience,adventure drama family,afghanistan war based true story rescue betrayal dog grieving
epic movie,edward peter lucy susan follow own path finding themselves willys chocolate factory walking wardrobe discover world gnarnia ruled white bitch meeting characters harry potter captain jack swallows newly reunited family team aslo wisebuthorny lion stop white bitchs army,action adventure comedy,nan
spotlight,true story boston globe uncovered massive scandal child abuse coverup local catholic archdiocese shaking entire catholic church core,drama thriller history,child abuse journalism judge florida boston pedophilia court coverup priest lawyer catholic catholic church catholicism september 11 2001 investigative journalism cardinal christmas
lakeview terrace,interracial couple moved california dream home target nextdoor neighbor disapproves relationship tightly wound lapd officer appointed watchdog neighborhood nightly foot patrols overly watchful eyes bring comfort increasingly aggressive newlyweds persistent intrusions lives cause couple fight,drama crime thriller,vandalism harassment neighbor house party shot death pregnancy urination interracial couple lapd air conditioner
the grudge 2,tokyo woman exposed mysterious curse afflicted sister supernatural force fills person rage spreading victim brings previously unrelated people attempt unlock secret save lives,horror thriller,remake little boy curse
how stella got her groove back,times bad stella delilah stellas busy building life shes forgotten live delilah change starts quick trip jamaica exhilarating voyage self discovery stella learns heart love 20 junior,comedy drama romance,black people age difference jamaica vacation female protagonist
bill & ted's bogus journey,amiable slackers bill ted roped fantastical adventure de nomolos villain future sends evil robot duplicates lads terminate replace robot doubles actually succeed killing bill ted determined escape afterlife challenging grim reaper series games return land living,adventure comedy family fantasy science fiction,future dying death heaven time travel heavy metal diabolical ego afterlife metal robot devil doppelganger seance
man of the year,irreverent host political satire talk decides run president expose corruption washington stunt goes expects actually wins election software engineer suspects computer glitch responsible surprising victory,comedy drama romance thriller,usa president presidential election comedian
